"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 23:11:07 MSK 2020","Mon Feb 10 23:11:25 MSK 2020","17927","Default Suite","HomeWorkAfterLesson19FinalProjectVersion2","tests.punkts.List.ListTitleMessageButtonsTest","tests.punkts.List.ListTitleMessageButtonsTest","searchButtonTest","searchButtonTest","Проверяем наличие,НЕ РАБОТУ, кнопки Disagree после клика на кнопку LIST + TITLE + MESSAGE + BUTTONS"
"passed","Mon Feb 10 23:10:02 MSK 2020","Mon Feb 10 23:10:20 MSK 2020","17591","Default Suite","HomeWorkAfterLesson19FinalProjectVersion2","tests.punkts.List.ListTitleMessageButtonsTest","tests.punkts.List.ListTitleMessageButtonsTest","listTitleMessageButtonsQuestionTest","listTitleMessageButtonsQuestionTest","Проверяем наличие вопроса после клика на кнопку LIST + TITLE + MESSAGE + BUTTONS"
"passed","Mon Feb 10 23:10:36 MSK 2020","Mon Feb 10 23:10:53 MSK 2020","17203","Default Suite","HomeWorkAfterLesson19FinalProjectVersion2","tests.punkts.List.ListTitleMessageButtonsTest","tests.punkts.List.ListTitleMessageButtonsTest","listTitleMessageButtonsTest","listTitleMessageButtonsTest","Проверяем кликабельность кнопки"
"passed","Mon Feb 10 23:09:23 MSK 2020","Mon Feb 10 23:09:46 MSK 2020","22765","Default Suite","HomeWorkAfterLesson19FinalProjectVersion2","tests.punkts.List.ListTitleMessageButtonsTest","tests.punkts.List.ListTitleMessageButtonsTest","findStrRefactTest","findStrRefactTest","После нажатия на кнопку LIST + TITLE + MESSAGE + BUTTONS,появляется окно со списком,проверяем список на наличие нужных слов"
