"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 01:57:12 MSK 2020","Tue Feb 11 01:57:29 MSK 2020","17401","Default Suite","HomeWorkAfterLesson19FinalProject","tests.punkts.Lists.ListsTest","tests.punkts.Lists.ListsTest","searchButtonTest","searchButtonTest","Проверяем наличие,НЕ РАБОТУ, кнопки Disagree после клика на кнопку LIST + TITLE + MESSAGE + BUTTONS"
"passed","Tue Feb 11 01:55:28 MSK 2020","Tue Feb 11 01:55:50 MSK 2020","22649","Default Suite","HomeWorkAfterLesson19FinalProject","tests.punkts.Lists.ListsTest","tests.punkts.Lists.ListsTest","findStrRefactTest","findStrRefactTest","После нажатия на кнопку LIST + TITLE + MESSAGE + BUTTONS,появляется окно со списком,проверяем список на наличие нужных слов"
"passed","Tue Feb 11 01:56:39 MSK 2020","Tue Feb 11 01:56:56 MSK 2020","16728","Default Suite","HomeWorkAfterLesson19FinalProject","tests.punkts.Lists.ListsTest","tests.punkts.Lists.ListsTest","listTitleMessageButtonsTest","listTitleMessageButtonsTest","Проверяем кликабельность кнопки"
"passed","Tue Feb 11 01:56:05 MSK 2020","Tue Feb 11 01:56:22 MSK 2020","17850","Default Suite","HomeWorkAfterLesson19FinalProject","tests.punkts.Lists.ListsTest","tests.punkts.Lists.ListsTest","listTitleMessageButtonsQuestionTest","listTitleMessageButtonsQuestionTest","Проверяем наличие вопроса после клика на кнопку LIST + TITLE + MESSAGE + BUTTONS"
